N1, 0, 0.648177, 0.635185, 0.157812, 0.075926
N100, 0, 0.483333, 0.793765, 0.371111, 0.091127
N101, 0, 0.341365, 0.604603, 0.433735, 0.138075
N102, 0, 0.502092, 0.581013, 0.317992, 0.068354
N103, 0, 0.522222, 0.578750, 0.141111, 0.049167
N104, 0, 0.291777, 0.743852, 0.233422, 0.127049
N105, 0, 0.794000, 0.638408, 0.148000, 0.072664
N106, 0, 0.327049, 0.555670, 0.204918, 0.084536
N107, 0, 0.638322, 0.634986, 0.337868, 0.311295
N108, 0, 0.543388, 0.523026, 0.326446, 0.081140
N109, 0, 0.351818, 0.533708, 0.165455, 0.131086
N11, -1, 0.578182, 0.748634, 0.203636, 0.076503
N110, 0, 0.368601, 0.661631, 0.112628, 0.048338
N111, 0, 0.218493, 0.680284, 0.217808, 0.067496
N112, 0, 0.526000, 0.793605, 0.336000, 0.098837
N113, 0, 0.183750, 0.476667, 0.172500, 0.093333
N114, 0, 0.430000, 0.478916, 0.740000, 0.560241
N116, 0, 0.394167, 0.747774, 0.265000, 0.154303
N117, 0, 0.306478, 0.535398, 0.214286, 0.120944
N118, 0, 0.540625, 0.698958, 0.250000, 0.072917
N119, 0, 0.544985, 0.557895, 0.558997, 0.206316
N12, -1, 0.588542, 0.658796, 0.160417, 0.078704
N120, 0, 0.864375, 0.741237, 0.111250, 0.113402
N121, 0, 0.509352, 0.622980, 0.243142, 0.082585
N122, 0, 0.696667, 0.667085, 0.253333, 0.113065
N123, 0, 0.514000, 0.486000, 0.940000, 0.348000
N124, 0, 0.464218, 0.585938, 0.306968, 0.093750
N126, 0, 0.456667, 0.884273, 0.416667, 0.172107
N127, 0, 0.164356, 0.661808, 0.233663, 0.104956
N128, 0, 0.279000, 0.587719, 0.326000, 0.182957
N129, 0, 0.520026, 0.586449, 0.262274, 0.079439
N130, 0, 0.784512, 0.509235, 0.158249, 0.105541
N131, 0, 0.547000, 0.429553, 0.302000, 0.123711
N132, 0, 0.428429, 0.477221, 0.415507, 0.348519
N133, 0, 0.388569, 0.581506, 0.123355, 0.065058
N134, 0, 0.450758, 0.471065, 0.204545, 0.071759
N135, 0, 0.529787, 0.592000, 0.391489, 0.133333
N136, 0, 0.519914, 0.537037, 0.075368, 0.043573
N137, 0, 0.485352, 0.692701, 0.187500, 0.054015
N138, 0, 0.521875, 0.322222, 0.893750, 0.288889
N139, 0, 0.493750, 0.767578, 0.277083, 0.044531
